 17898-1        Tebo-ICT,  license #WeiChuang(CD)

 Test Fixture Nails     298/298  Selected Drills           23-January-2018 15:05
                        298 Nails,  1761 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$193      1.6590    3.3300   3  A1   (T)  #199  PPVAR_BL_PWR     T PIN TB_TP56.1
$194      1.8954    3.1043   1  A1   (T)  #285  PP3300_PG_OD     T PIN TB_TP68.1
$195      1.9690    2.9610   3  A1   (T)  #47   PPVAR_VNN_SW_L   T PIN TB_TP47.1
$196      2.0144    2.9421   3  A1   (T)  #34   PPVAR_VNN_SW     T PIN TB_TP48.1
$197      1.7544    2.8291   2  A1   (T)  #119  PP5000_PG_OD     T PIN TB_TP60.1
$198      1.6870    2.7800   1  A1   (T)  #116  PP5000_FB          VIA .
$199      1.5844    2.9028   1  A1   (T)  #1032 PP3300_BSTR      T PIN TB_TP75.1
$200      1.4934    2.9852   1  A1   (T)  #50   PP3300_A_R       T PIN TB_TP76.1
$201      1.4101    2.8462   1  A1   (T)  #121  5V_REG_MODE      T PIN TB_TP244.1
$202      1.1540    2.6770   1  A1   (T)  #1028 USB_C0_Q         T PIN TB_TP10.1
$203      1.1804    2.3952   1  A1   (T)  #864  N147489408       T PIN TB_TP107.1
$204      1.1524    2.2081   2  A1   (T)  #208  USB_C0_VBUS_IN_GATE T PIN TB_TP9.1
$205      1.1960    2.1597   3  A1   (T)  #982  USB_A_CHARGE_EN_L T PIN TB_TP17.1
$206      1.1920    2.1080   3  A1   (T)  #906  USB_A0_ILIM_SEL  T PIN TB_TP16.1
$207      1.0928    2.0760   3  A1   (T)  #899  SN1408009RTER_CTL11 T PIN TB_TP40.1
$208      1.0451    2.0812   3  A1   (T)  #900  SN1408009RTER_CTL21 T PIN TB_TP39.1
$209      1.0092    2.0459   3  A1   (T)  #901  SN1408009RTER_CTL31 T PIN TB_TP38.1
$210      1.0084    1.8722   1  A1   (T)  #905  PP5000_USB_A0_VBUS T PIN TB_TP59.1
$211      1.0294    1.6900   3  A1   (T)  #176  LSPK_PA_EN       T PIN TB_TP115.1
$212      0.9834    1.6700   3  A1   (T)  #178  I2S_PCH_TX_SPKR_RX_LC_R T PIN TB_TP125.1
$213      0.9354    1.6880   3  A1   (T)  #180  I2S_SCLK_SPKR_LC_R T PIN TB_TP123.1
$214      0.8874    1.6700   3  A1   (T)  #181  I2S_SFRM_SPKR_LC_R T PIN TB_TP121.1
$215      0.7940    2.2560   1  A1   (T)  #124  PPVAR_USB_C0_VBUS T PIN TB_TP51.1
$216      0.9494    2.3632   1  A1   (T)  #874  N147488929       T PIN TB_TP108.1
$217      1.0394    2.4251   1  A1   (T)  #878  USB_C0_5V_ILIM   T PIN TB_TP15.1
$218      0.9164    2.5271   1  A1   (T)  #875  USB_C0_5V_OUT_D  T PIN TB_TP14.1
$219      0.8839    2.6437   1  A1   (T)  #756  USB_C0_HPD_1V8_ODL T PIN TB_TP12.1
$220      0.8676    2.7392   1  A1   (T)  #929  USB_C0_HPD_3V3   T PIN TB_TP11.1
$221      1.0201    2.7381   2  A1   (T)  #908  USB_I2C_ADR_C0   T PIN TB_TP6.1
$222      1.0739    2.7632   3  A1   (T)  #910  USB_C0_DISCHARGE T PIN TB_TP13.1
$223      1.0914    3.1311   1  A1   (T)  #920  VBUS_DIV6        T PIN TB_TP5.1
$224      0.4324    3.4558   1  A1   (T)  #137  MECH_PWR_BTN_IN_ODL T PIN TB_TP109.1
$225      0.4140    3.1740   1  A1   (T)  #1029 LED_R2           T PIN TB_TP118.1
$230      7.2754    3.9300   1  A1   (B)  #14   GND              T PIN TB_TP151.1
$231      6.7054    3.5400   1  A1   (B)  #763  PEN_RESET        T PIN TB_TP93.1
$232      6.7804    3.3150   1  A1   (B)  #651  CLK_32K_GPS      T PIN TP93.1
$233      6.7788    3.0078   3  A1   (B)  #64   H1_USBB_N        T PIN TB_TP132.1
$234      6.8304    3.0172   3  A1   (B)  #62   H1_USBB_P        T PIN TB_TP131.1
$235      7.1444    2.7372   1  A1   (B)  #752  EC_IN_RW_OD      T PIN TB_TP182.1
$236      6.9764    2.3342   1  A1   (B)  #1013 H1_BOOT_UART_TX  T PIN TP60.1
$237      7.6040    1.8810   1  A1   (B)  #277  USB_C1_PD_INT_ODL T PIN TB_TP7.1
$238      7.6690    1.8960   3  A1   (B)  #78   PP3300_PD_A      T PIN TB_TP69.1
$239      7.6650    1.8200   2  A1   (B)  #278  EC_I2C_USB_C1_PD_SCL T PIN TB_TP184.1
$240      7.6654    1.6982   1  A1   (B)  #270  EC_VOLDN_BTN_ODL T PIN TB_TP172.1
$241      7.6100    1.7660   2  A1   (B)  #279  EC_I2C_USB_C1_PD_SDA T PIN TB_TP183.1
$242      7.3974    1.7632   1  A1   (B)  #275  LID_OPEN         T PIN TB_TP116.1
$243      7.3366    1.4670   1  A1   (B)  #983  LID_ACCEL_INT_L  T PIN TB_TP117.1
$244      7.1150    1.6480   1  A1   (B)  #987  KB_BL_PWM        T PIN TP106.1
$245      7.0704    1.5902   3  A1   (B)  #118  EN_PP5000        T PIN TB_TP161.1
$246      7.0384    1.6332   3  A1   (B)  #951  EC_SPI_FLASH_MISO T PIN TB_TP174.1
$247      6.8724    1.8382   1  A1   (B)  #758  USB_C1_HPD_1V8_ODL T PIN TB_TP8.1
$248      6.7554    1.8503   3  A1   (B)  #1012 SERVO_TP2        T PIN TP7.1
$249      6.7554    1.9053   3  A1   (B)  #1014 SERVO_TP1        T PIN TP6.1
$250      6.7004    1.9056   3  A1   (B)  #1011 SERVO_TP3        T PIN TP8.1
$251      6.7004    1.8503   3  A1   (B)  #1010 SERVO_TP4        T PIN TP9.1
$252      6.6364    1.8752   3  A1   (B)  #1027 SERVO_TP5        T PIN TP10.1
$253      6.6024    1.8361   3  A1   (B)  #1026 TP11             T PIN TP11.1
$254      6.6624    1.8161   3  A1   (B)  #1016 TP56             T PIN TP56.1
$255      6.7004    1.6132   1  A1   (B)  #947  EC_H1_RST_ODL    T PIN TB_TP185.1
$256      6.7424    1.4752   1  A1   (B)  #740  EC_SMI_ODL       T PIN TB_TP176.1
$257      6.2300    1.6160   2  A1   (B)  #1007 TP_PS2_CLK       T PIN TP99.1
$258      6.1554    1.6250   2  A1   (B)  #1009 TP_PS2_DAT       T PIN TP100.1
$259      5.9264    1.5632   1  A1   (B)  #960  EN_PP3300_TRACKPAD_ODL T PIN TB_TP163.1
$260      6.3064    1.8241   1  A1   (B)  #981  EC_PCH_RTCRST    T PIN TB_TP180.1
$261      6.4054    1.8951   3  A1   (B)  #1023 TP14             T PIN TP14.1
$262      6.4564    1.8962   3  A1   (B)  #1024 TP13             T PIN TP13.1
$263      6.5044    1.9182   3  A1   (B)  #1025 TP12             T PIN TP12.1
$264      6.3774    2.1902   1  A1   (B)  #1017 TP20             T PIN TP20.1
$265      6.5479    2.2731   3  A1   (B)  #1018 TP19             T PIN TP19.1
$266      6.6026    2.2731   3  A1   (B)  #1019 TP18             T PIN TP18.1
$267      6.6576    2.2731   3  A1   (B)  #1020 SERVO_TP10       T PIN TP17.1
$268      6.7129    2.2731   3  A1   (B)  #1021 TP16             T PIN TP16.1
$269      6.7676    2.2731   3  A1   (B)  #1022 TP15             T PIN TP15.1
$270      6.7874    2.3491   1  A1   (B)  #769  PCHRX_SERVOTX_UART T PIN TB_TP96.1
$271      6.5894    2.6881   1  A1   (B)  #1015 H1_BOOT_UART_RX  T PIN TP58.1
$272      6.1134    2.5991   1  A1   (B)  #701  NFC_RESET_ODL    T PIN TP86.1
$273      5.9658    2.7578   1  A1   (B)  #738  BATLOW_L         T PIN TB_TP241.1
$274      6.0644    2.7302   1  A1   (B)  #683  SLP_S4_PCH_L     T PIN TB_TP41.1
$275      6.1554    2.7600   1  A1   (B)  #724  EN_PP3300_EMMC   T PIN TP101.1
$276      6.4954    3.0132   1  A1   (B)  #1067 EN_PP3300_INA_H1_ODL T PIN TB_TP165.1
$277      6.5074    3.1511   2  A1   (B)  #747  PCH_SPI_FP_MISO  T PIN TP95.1
